state;action_reward;n_state
496&1|528&4|183&2|842&2|206&4|132&3|484&3|222&3|469&3|11&4|485&3|246&4;229&2|1139&2|277&5|98&4;496&1|528&4|183&2|842&2|206&4|132&3|484&3|222&3|469&3|11&4|485&3|246&4|229&2|1139&2|277&5|98&4
6&5|615&4|294&4|479&4|7&4|402&4|527&3|690&1|50&5|340&4|521&4|298&5;487&5|483&5|385&5|286&5;6&5|615&4|294&4|479&4|7&4|402&4|527&3|690&1|50&5|340&4|521&4|298&5|487&5|483&5|385&5|286&5
203&5|177&4|588&5|470&4|511&5|768&4|98&5|265&4|578&4|465&4|273&4|22&5;576&4|449&2|367&4|417&3;203&5|177&4|588&5|470&4|511&5|768&4|98&5|265&4|578&4|465&4|273&4|22&5|576&4|449&2|367&4|417&3
301&3|896&4|286&5|319&2|325&2|328&2|310&2|1296&3|333&1|268&4|258&3|346&4;321&2|326&3|678&2|323&2;301&3|896&4|286&5|319&2|325&2|328&2|310&2|1296&3|333&1|268&4|258&3|346&4|321&2|326&3|678&2|323&2
210&5|174&5|214&5|346&4|790&4|70&4|4&4|802&3|540&3|62&3|68&4|2&4;919&5|1258&3|184&5|269&5;210&5|174&5|214&5|346&4|790&4|70&4|4&4|802&3|540&3|62&3|68&4|2&4|919&5|1258&3|184&5|269&5
508&4|487&3|357&4|174&5|56&5|24&3|211&4|154&3|28&4|186&5|651&4|175&4;431&4|526&4|195&4|276&5;508&4|487&3|357&4|174&5|56&5|24&3|211&4|154&3|28&4|186&5|651&4|175&4|431&4|526&4|195&4|276&5
300&5|245&4|756&4|323&3|1016&3|975&4|934&3|279&2|100&5|125&4|181&2|107&1;240&3|284&4|7&2|273&5;300&5|245&4|756&4|323&3|1016&3|975&4|934&3|279&2|100&5|125&4|181&2|107&1|240&3|284&4|7&2|273&5
357&5|127&3|56&5|50&1|22&2|174&1|325&2|172&1|265&4|294&2|321&3|64&5;79&5|258&5|187&2|182&5;357&5|127&3|56&5|50&1|22&2|174&1|325&2|172&1|265&4|294&2|321&3|64&5|79&5|258&5|187&2|182&5
70&5|294&4|315&3|195&5|1016&4|930&3|9&1|125&4|88&4|210&5|153&5|510&4;665&4|472&4|415&3|98&4;70&5|294&4|315&3|195&5|1016&4|930&3|9&1|125&4|88&4|210&5|153&5|510&4|665&4|472&4|415&3|98&4
535&4|176&3|660&3|328&4|178&5|60&5|527&4|322&4|357&5|172&4|815&4|183&4;88&4|1300&2|1136&4|333&3;535&4|176&3|660&3|328&4|178&5|60&5|527&4|322&4|357&5|172&4|815&4|183&4|88&4|1300&2|1136&4|333&3
250&4|955&2|137&5|1088&3|569&3|1019&4|865&4|223&5|542&2|203&5|340&3|541&4;533&4|362&5|1052&5|222&4;250&4|955&2|137&5|1088&3|569&3|1019&4|865&4|223&5|542&2|203&5|340&3|541&4|533&4|362&5|1052&5|222&4
9&5|680&2|255&5|252&3|597&4|890&2|237&5|841&4|127&5|274&5|258&4|118&5;424&3|1023&4|254&3|1051&5;9&5|680&2|255&5|252&3|597&4|890&2|237&5|841&4|127&5|274&5|258&4|118&5|424&3|1023&4|254&3|1051&5
49&4|631&2|264&3|367&3|1240&4|568&2|748&4|206&5|1204&3|271&4|659&4|218&3;424&1|1231&2|831&2|577&3;49&4|631&2|264&3|367&3|1240&4|568&2|748&4|206&5|1204&3|271&4|659&4|218&3|424&1|1231&2|831&2|577&3
302&2|7&3|301&3|1&3|346&4|294&5|269&5|340&4|258&2|286&4|9&4|111&5;151&4|1009&4|118&1|109&1;302&2|7&3|301&3|1&3|346&4|294&5|269&5|340&4|258&2|286&4|9&4|111&5|151&4|1009&4|118&1|109&1
258&4|988&1|333&1|268&4|948&1|270&2|680&1|292&1|681&1|323&1|879&1|327&4;923&5|272&5|313&5|243&1;258&4|988&1|333&1|268&4|948&1|270&2|680&1|292&1|681&1|323&1|879&1|327&4|923&5|272&5|313&5|243&1
322&2|328&4|271&4|690&3|313&4|316&4|258&4|269&3|751&5|288&5|300&2|302&5;887&4|312&2|875&1|245&4;322&2|328&4|271&4|690&3|313&4|316&4|258&4|269&3|751&5|288&5|300&2|302&5|887&4|312&2|875&1|245&4
209&5|182&5|969&5|194&5|327&5|197&5|504&5|234&4|204&4|174&4|357&5|317&5;654&5|170&5|467&5|23&5;209&5|182&5|969&5|194&5|327&5|197&5|504&5|234&4|204&4|174&4|357&5|317&5|654&5|170&5|467&5|23&5
472&4|125&4|123&4|273&4|1093&5|412&1|235&3|276&4|25&4|827&3|1052&3|546&3;24&4|833&4|1047&3|7&5;472&4|125&4|123&4|273&4|1093&5|412&1|235&3|276&4|25&4|827&3|1052&3|546&3|24&4|833&4|1047&3|7&5
1202&3|747&2|187&2|202&3|661&5|481&3|588&4|148&3|483&4|285&5|240&4|787&3;506&4|660&3|724&3|602&3;1202&3|747&2|187&2|202&3|661&5|481&3|588&4|148&3|483&4|285&5|240&4|787&3|506&4|660&3|724&3|602&3
357&4|135&4|96&3|496&4|175&5|483&4|183&5|485&3|56&3|615&2|640&2|507&3;210&3|171&4|195&4|522&5;357&4|135&4|96&3|496&4|175&5|483&4|183&5|485&3|56&3|615&2|640&2|507&3|210&3|171&4|195&4|522&5
28&3|187&5|188&4|385&3|176&4|82&4|273&3|258&3|735&3|153&4|50&5|98&5;527&3|712&3|199&5|204&3;28&3|187&5|188&4|385&3|176&4|82&4|273&3|258&3|735&3|153&4|50&5|98&5|527&3|712&3|199&5|204&3
111&3|31&3|134&3|732&4|159&3|216&5|228&5|100&3|64&4|502&3|589&3|430&4;186&4|663&2|88&4|196&4;111&3|31&3|134&3|732&4|159&3|216&5|228&5|100&3|64&4|502&3|589&3|430&4|186&4|663&2|88&4|196&4
237&1|131&3|823&2|269&3|105&1|229&3|127&4|222&4|311&3|335&3|25&2|117&4;258&5|300&5|1177&5|275&5;237&1|131&3|823&2|269&3|105&1|229&3|127&4|222&4|311&3|335&3|25&2|117&4|258&5|300&5|1177&5|275&5
50&5|366&3|1217&3|566&4|1303&3|1244&4|844&5|1471&3|569&3|49&4|156&5|290&4;95&4|404&4|395&3|140&4;50&5|366&3|1217&3|566&4|1303&3|1244&4|844&5|1471&3|569&3|49&4|156&5|290&4|95&4|404&4|395&3|140&4
197&4|198&3|144&5|127&5|663&5|436&5|600&4|135&5|208&5|547&3|232&3|77&5;662&3|676&3|446&2|580&3;197&4|198&3|144&5|127&5|663&5|436&5|600&4|135&5|208&5|547&3|232&3|77&5|662&3|676&3|446&2|580&3
476&3|220&4|871&2|237&5|304&2|172&5|403&4|566&4|1035&4|118&4|70&4|401&4;181&4|210&4|50&5|781&4;476&3|220&4|871&2|237&5|304&2|172&5|403&4|566&4|1035&4|118&4|70&4|401&4|181&4|210&4|50&5|781&4
794&4|275&5|709&5|369&4|280&4|88&5|1051&5|274&5|731&4|36&4|255&5|451&5;846&4|289&5|66&5|282&4;794&4|275&5|709&5|369&4|280&4|88&5|1051&5|274&5|731&4|36&4|255&5|451&5|846&4|289&5|66&5|282&4
14&4|523&4|25&2|1&4|151&4|66&3|1019&3|311&3|753&4|411&3|260&1|65&2;132&5|1100&4|546&2|2&2;14&4|523&4|25&2|1&4|151&4|66&3|1019&3|311&3|753&4|411&3|260&1|65&2|132&5|1100&4|546&2|2&2
294&3|742&4|150&4|116&3|117&3|879&3|100&4|873&3|319&2|326&3|129&4|333&3;871&2|1011&3|137&3|475&3;294&3|742&4|150&4|116&3|117&3|879&3|100&4|873&3|319&2|326&3|129&4|333&3|871&2|1011&3|137&3|475&3
286&3|300&3|328&4|339&2|316&4|313&5|269&3|301&2|294&4|748&5|879&4|323&4;892&2|508&3|338&4|1&5;286&3|300&3|328&4|339&2|316&4|313&5|269&3|301&2|294&4|748&5|879&4|323&4|892&2|508&3|338&4|1&5
890&1|539&3|258&4|691&4|689&1|301&3|269&3|877&2|937&4|989&2|690&3|264&4;876&2|1625&4|351&2|687&1;890&1|539&3|258&4|691&4|689&1|301&3|269&3|877&2|937&4|989&2|690&3|264&4|876&2|1625&4|351&2|687&1
272&4|333&4|362&3|315&3|268&5|874&5|1395&4|751&4|328&2|258&3|313&4|324&4;752&4|349&3|886&4|270&5;272&4|333&4|362&3|315&3|268&5|874&5|1395&4|751&4|328&2|258&3|313&4|324&4|752&4|349&3|886&4|270&5
322&4|678&4|289&3|287&4|124&3|546&2|742&4|282&4|116&4|25&4|286&3|237&4;15&4|117&4|285&4|871&2;322&4|678&4|289&3|287&4|124&3|546&2|742&4|282&4|116&4|25&4|286&3|237&4|15&4|117&4|285&4|871&2
900&3|339&3|333&4|313&4|294&4|319&4|270&4|301&3|258&4|306&3|269&4|302&5;347&4|937&5|748&5|288&5;900&3|339&3|333&4|313&4|294&4|319&4|270&4|301&3|258&4|306&3|269&4|302&5|347&4|937&5|748&5|288&5
109&5|13&5|15&4|993&4|1&5|151&2|21&3|225&4|845&4|278&3|597&3|1059&2;756&2|926&3|764&4|820&4;109&5|13&5|15&4|993&4|1&5|151&2|21&3|225&4|845&4|278&3|597&3|1059&2|756&2|926&3|764&4|820&4
186&4|432&4|609&3|70&4|174&5|427&5|234&4|1192&4|117&5|378&5|371&4|162&4;570&4|739&5|926&3|176&4;186&4|432&4|609&3|70&4|174&5|427&5|234&4|1192&4|117&5|378&5|371&4|162&4|570&4|739&5|926&3|176&4
902&4|95&4|272&3|358&3|101&2|1240&3|189&4|539&2|588&2|71&4|333&4|91&3;926&2|410&1|235&3|111&4;902&4|95&4|272&3|358&3|101&2|1240&3|189&4|539&2|588&2|71&4|333&4|91&3|926&2|410&1|235&3|111&4
208&4|168&2|321&3|66&2|866&4|1047&2|56&3|1&4|476&3|287&3|326&3|257&4;1040&2|1132&4|1023&2|410&5;208&4|168&2|321&3|66&2|866&4|1047&2|56&3|1&4|476&3|287&3|326&3|257&4|1040&2|1132&4|1023&2|410&5
127&4|744&4|14&5|251&5|813&3|286&5|1&4|285&5|297&4|100&5|287&4|293&3;302&5|313&5|269&5|276&5;127&4|744&4|14&5|251&5|813&3|286&5|1&4|285&5|297&4|100&5|287&4|293&3|302&5|313&5|269&5|276&5
222&4|151&1|815&4|15&5|121&3|845&4|477&5|1&5|14&4|275&4|125&1|476&4;412&2|235&4|820&3|934&3;222&4|151&1|815&4|15&5|121&3|845&4|477&5|1&5|14&4|275&4|125&1|476&4|412&2|235&4|820&3|934&3
240&1|890&1|50&2|121&1|456&1|509&2|293&3|660&5|282&4|382&2|216&4|98&5;532&3|298&2|582&3|291&3;240&1|890&1|50&2|121&1|456&1|509&2|293&3|660&5|282&4|382&2|216&4|98&5|532&3|298&2|582&3|291&3
302&5|269&5|258&4|328&4|242&4|313&4|321&3|304&4|311&4|1024&3|303&3|340&4;305&2|896&2|326&3|344&2;302&5|269&5|258&4|328&4|242&4|313&4|321&3|304&4|311&4|1024&3|303&3|340&4|305&2|896&2|326&3|344&2
28&5|153&4|202&4|663&2|79&5|568&5|96&4|210&5|82&5|121&5|659&4|208&5;181&5|648&5|69&5|162&3;28&5|153&4|202&4|663&2|79&5|568&5|96&4|210&5|82&5|121&5|659&4|208&5|181&5|648&5|69&5|162&3
715&5|553&3|135&4|673&3|69&2|175&5|215&4|1268&2|661&4|187&4|212&5|180&5;423&4|1267&4|727&4|956&4;715&5|553&3|135&4|673&3|69&2|175&5|215&4|1268&2|661&4|187&4|212&5|180&5|423&4|1267&4|727&4|956&4
289&3|888&4|328&2|881&2|259&4|879&2|872&3|319&3|286&3|326&3|258&5|338&1;1175&5|683&5|270&5|889&5;289&3|888&4|328&2|881&2|259&4|879&2|872&3|319&3|286&3|326&3|258&5|338&1|1175&5|683&5|270&5|889&5
237&3|118&4|748&2|235&3|405&2|269&5|258&3|476&4|1093&3|473&3|284&3|411&3;1312&2|1322&2|824&2|120&1;237&3|118&4|748&2|235&3|405&2|269&5|258&3|476&4|1093&3|473&3|284&3|411&3|1312&2|1322&2|824&2|120&1
523&5|508&5|14&5|471&3|371&5|340&4|601&5|325&2|215&3|210&3|127&5|174&3;284&2|333&4|338&2|223&5;523&5|508&5|14&5|471&3|371&5|340&4|601&5|325&2|215&3|210&3|127&5|174&3|284&2|333&4|338&2|223&5
127&4|288&2|303&3|321&3|257&2|301&3|293&4|245&3|294&2|289&4|1251&3|1011&4;19&5|870&2|306&4|1380&3;127&4|288&2|303&3|321&3|257&2|301&3|293&4|245&3|294&2|289&4|1251&3|1011&4|19&5|870&2|306&4|1380&3
423&5|728&3|8&3|386&2|673&3|83&3|168&5|117&4|48&4|234&3|358&3|470&5;809&2|541&3|24&4|62&3;423&5|728&3|8&3|386&2|673&3|83&3|168&5|117&4|48&4|234&3|358&3|470&5|809&2|541&3|24&4|62&3
568&4|298&5|172&5|288&5|121&5|427&4|174&5|234&5|27&5|588&5|421&5|928&5;676&5|197&5|207&5|15&5;568&4|298&5|172&5|288&5|121&5|427&4|174&5|234&5|27&5|588&5|421&5|928&5|676&5|197&5|207&5|15&5
463&5|300&1|1073&4|462&4|640&1|322&3|212&4|179&5|70&4|638&4|86&3|1009&2;1214&1|949&2|382&5|582&5;463&5|300&1|1073&4|462&4|640&1|322&3|212&4|179&5|70&4|638&4|86&3|1009&2|1214&1|949&2|382&5|582&5
294&4|321&3|308&4|292&3|892&4|243&3|307&4|895&5|286&5|304&5|323&5|690&5;315&4|901&4|748&3|678&5;294&4|321&3|308&4|292&3|892&4|243&3|307&4|895&5|286&5|304&5|323&5|690&5|315&4|901&4|748&3|678&5
682&2|628&4|25&4|181&4|333&1|471&4|1&4|245&3|117&4|325&1|742&2|50&5;237&4|756&4|410&4|7&3;682&2|628&4|25&4|181&4|333&1|471&4|1&4|245&3|117&4|325&1|742&2|50&5|237&4|756&4|410&4|7&3
56&5|285&4|127&4|251&4|95&4|772&4|126&3|926&2|258&4|411&3|13&4|137&4;173&5|507&5|71&5|44&4;56&5|285&4|127&4|251&4|95&4|772&4|126&3|926&2|258&4|411&3|13&4|137&4|173&5|507&5|71&5|44&4
657&5|496&5|345&2|474&5|180&5|736&5|479&4|660&4|641&4|197&5|427&5|663&5;357&5|200&5|425&4|58&4;657&5|496&5|345&2|474&5|180&5|736&5|479&4|660&4|641&4|197&5|427&5|663&5|357&5|200&5|425&4|58&4
249&4|405&4|121&3|410&4|120&4|258&3|1054&3|13&5|21&4|111&4|117&4|248&4;265&3|480&4|357&4|89&4;249&4|405&4|121&3|410&4|120&4|258&3|1054&3|13&5|21&4|111&4|117&4|248&4|265&3|480&4|357&4|89&4
466&4|33&4|265&3|42&4|47&4|659&4|12&5|175&3|431&3|430&3|288&2|269&4;504&3|410&3|294&2|164&3;466&4|33&4|265&3|42&4|47&4|659&4|12&5|175&3|431&3|430&3|288&2|269&4|504&3|410&3|294&2|164&3
245&4|315&3|876&3|328&4|289&3|881&3|294&4|288&3|269&4|243&2|748&4|286&3;295&3|127&4|298&4|249&2;245&4|315&3|876&3|328&4|289&3|881&3|294&4|288&3|269&4|243&2|748&4|286&3|295&3|127&4|298&4|249&2
197&5|71&4|405&4|403&4|1016&4|1047&4|742&4|294&3|173&5|177&5|705&4|326&3;70&3|202&4|117&3|257&2;197&5|71&4|405&4|403&4|1016&4|1047&4|742&4|294&3|173&5|177&5|705&4|326&3|70&3|202&4|117&3|257&2
405&3|93&5|282&4|174&5|1073&4|9&3|763&4|952&4|640&3|447&4|544&4|1016&4;202&4|430&5|228&2|209&4;405&3|93&5|282&4|174&5|1073&4|9&3|763&4|952&4|640&3|447&4|544&4|1016&4|202&4|430&5|228&2|209&4
342&2|307&5|902&5|271&4|313&3|288&4|328&3|355&3|324&1|269&4|305&4|340&5;260&3|322&4|678&3|748&2;342&2|307&5|902&5|271&4|313&3|288&4|328&3|355&3|324&1|269&4|305&4|340&5|260&3|322&4|678&3|748&2
125&2|455&4|742&4|7&4|815&3|121&3|471&4|685&4|1016&5|109&3|24&4|147&3;405&2|473&1|363&3|21&1;125&2|455&4|742&4|7&4|815&3|121&3|471&4|685&4|1016&5|109&3|24&4|147&3|405&2|473&1|363&3|21&1
657&5|117&3|127&5|358&2|56&5|289&3|243&1|751&3|991&1|894&1|1019&3|498&4;475&4|273&4|345&4|346&4;657&5|117&3|127&5|358&2|56&5|289&3|243&1|751&3|991&1|894&1|1019&3|498&4|475&4|273&4|345&4|346&4
168&5|238&2|234&2|132&2|283&2|526&4|566&3|596&4|27&4|1035&2|66&3|180&3;447&3|53&1|940&2|80&4;168&5|238&2|234&2|132&2|283&2|526&4|566&3|596&4|27&4|1035&2|66&3|180&3|447&3|53&1|940&2|80&4
135&5|132&3|143&5|435&5|479&4|134&4|483&4|294&1|504&5|1269&2|187&4|14&5;50&3|13&3|285&5|185&4;135&5|132&3|143&5|435&5|479&4|134&4|483&4|294&1|504&5|1269&2|187&4|14&5|50&3|13&3|285&5|185&4
530&4|657&5|265&2|1&4|153&3|515&5|1039&4|480&5|23&5|181&4|340&4|204&4;136&5|176&4|483&5|228&4;530&4|657&5|265&2|1&4|153&3|515&5|1039&4|480&5|23&5|181&4|340&4|204&4|136&5|176&4|483&5|228&4
357&4|273&2|182&5|162&5|69&5|195&4|204&5|194&5|655&5|22&5|523&3|9&4;729&4|15&5|210&5|467&5;357&4|273&2|182&5|162&5|69&5|195&4|204&5|194&5|655&5|22&5|523&3|9&4|729&4|15&5|210&5|467&5
276&5|268&4|269&4|744&5|15&3|294&2|326&3|292&3|321&2|340&3|308&2|181&3;273&3|408&4|9&5|100&5;276&5|268&4|269&4|744&5|15&3|294&2|326&3|292&3|321&2|340&3|308&2|181&3|273&3|408&4|9&5|100&5
922&1|181&4|149&2|24&2|283&2|147&1|285&3|744&4|1033&3|282&3|338&4|325&1;717&3|1284&1|118&1|546&1;922&1|181&4|149&2|24&2|283&2|147&1|285&3|744&4|1033&3|282&3|338&4|325&1|717&3|1284&1|118&1|546&1
748&4|1&4|1012&5|332&3|300&3|328&2|298&4|269&5|246&4|875&2|7&4|258&5;815&3|685&2|181&2|742&3;748&4|1&4|1012&5|332&3|300&3|328&2|298&4|269&5|246&4|875&2|7&4|258&5|815&3|685&2|181&2|742&3
271&5|333&4|358&1|292&5|260&4|682&4|299&2|895&4|340&4|355&2|288&4|346&4;294&4|908&4|678&2|322&3;271&5|333&4|358&1|292&5|260&4|682&4|299&2|895&4|340&4|355&2|288&4|346&4|294&4|908&4|678&2|322&3
174&5|181&4|228&3|284&2|156&4|50&4|100&5|257&4|568&4|118&4|199&5|845&3;281&4|1087&4|924&3|546&4;174&5|181&4|228&3|284&2|156&4|50&4|100&5|257&4|568&4|118&4|199&5|845&3|281&4|1087&4|924&3|546&4
1233&4|310&4|1429&4|882&4|307&4|682&4|358&4|260&4|1392&4|1175&5|329&3|324&4;319&5|336&4|271&3|872&4;1233&4|310&4|1429&4|882&4|307&4|682&4|358&4|260&4|1392&4|1175&5|329&3|324&4|319&5|336&4|271&3|872&4
650&4|622&4|204&5|472&5|216&5|649&4|431&3|79&4|443&3|98&4|392&3|232&4;78&3|485&5|539&4|404&5;650&4|622&4|204&5|472&5|216&5|649&4|431&3|79&4|443&3|98&4|392&3|232&4|78&3|485&5|539&4|404&5
47&2|123&3|155&3|393&2|402&2|258&3|1446&4|582&3|176&3|774&4|931&2|709&3;470&4|790&2|1230&2|231&4;47&2|123&3|155&3|393&2|402&2|258&3|1446&4|582&3|176&3|774&4|931&2|709&3|470&4|790&2|1230&2|231&4
568&4|44&5|595&3|243&2|338&3|1083&1|281&4|237&2|306&4|226&5|263&3|1033&3;477&4|887&4|333&3|147&4;568&4|44&5|595&3|243&2|338&3|1083&1|281&4|237&2|306&4|226&5|263&3|1033&3|477&4|887&4|333&3|147&4
241&3|604&3|615&3|492&3|489&4|494&5|222&4|203&4|493&5|192&3|294&4|520&4;1039&5|559&2|141&4|633&4;241&3|604&3|615&3|492&3|489&4|494&5|222&4|203&4|493&5|192&3|294&4|520&4|1039&5|559&2|141&4|633&4
269&5|242&4|874&4|272&3|891&2|1628&5|896&5|303&5|463&5|509&5|318&5|258&3;223&1|235&1|1255&1|650&5;269&5|242&4|874&4|272&3|891&2|1628&5|896&5|303&5|463&5|509&5|318&5|258&3|223&1|235&1|1255&1|650&5
225&5|82&5|465&5|477&5|172&4|1&4|99&2|596&1|393&5|1219&4|95&4|418&3;420&1|102&5|151&2|94&5;225&5|82&5|465&5|477&5|172&4|1&4|99&2|596&1|393&5|1219&4|95&4|418&3|420&1|102&5|151&2|94&5
105&2|672&3|117&5|665&5|949&4|339&3|1073&5|823&3|877&2|979&3|275&2|88&5;1210&1|347&3|1216&2|929&2;105&2|672&3|117&5|665&5|949&4|339&3|1073&5|823&3|877&2|979&3|275&2|88&5|1210&1|347&3|1216&2|929&2
1297&2|9&3|568&4|751&5|176&5|371&5|778&4|736&3|248&3|550&3|405&5|357&4;672&3|1032&3|54&4|649&3;1297&2|9&3|568&4|751&5|176&5|371&5|778&4|736&3|248&3|550&3|405&5|357&4|672&3|1032&3|54&4|649&3
748&4|358&2|303&4|327&3|300&4|323&3|328&4|332&3|286&4|690&3|245&4|294&5;988&2|307&3|754&3|689&3;748&4|358&2|303&4|327&3|300&4|323&3|328&4|332&3|286&4|690&3|245&4|294&5|988&2|307&3|754&3|689&3
435&4|193&4|169&5|82&4|432&4|168&4|423&5|28&5|194&3|222&5|98&4|172&4;175&5|96&5|1126&3|32&5;435&4|193&4|169&5|82&4|432&4|168&4|423&5|28&5|194&3|222&5|98&4|172&4|175&5|96&5|1126&3|32&5
276&5|268&5|269&4|50&4|10&4|150&4|273&4|248&3|127&5|762&3|327&4|919&2;455&3|742&2|1059&4|1016&4;276&5|268&5|269&4|50&4|10&4|150&4|273&4|248&3|127&5|762&3|327&4|919&2|455&3|742&2|1059&4|1016&4
969&5|542&3|468&3|69&2|623&3|326&4|443&3|638&4|928&4|85&5|260&2|842&3;111&1|934&4|778&3|832&1;969&5|542&3|468&3|69&2|623&3|326&4|443&3|638&4|928&4|85&5|260&2|842&3|111&1|934&4|778&3|832&1
100&3|164&4|760&5|682&3|892&4|930&5|977&5|413&4|286&2|895&3|447&3|109&5;672&3|436&5|665&2|53&5;100&3|164&4|760&5|682&3|892&4|930&5|977&5|413&4|286&2|895&3|447&3|109&5|672&3|436&5|665&2|53&5
50&4|250&3|192&3|125&3|519&5|276&2|100&3|191&3|498&5|25&2|156&4|201&4;133&2|52&5|265&3|210&3;50&4|250&3|192&3|125&3|519&5|276&2|100&3|191&3|498&5|25&2|156&4|201&4|133&2|52&5|265&3|210&3
306&2|334&4|304&3|989&3|1393&2|326&5|258&5|300&3|1296&2|1025&5|242&4|303&2;286&4|319&4|333&3|324&3;306&2|334&4|304&3|989&3|1393&2|326&5|258&5|300&3|1296&2|1025&5|242&4|303&2|286&4|319&4|333&3|324&3
